"key","english","translation","notes"
"scanFace.allowAccess","Allow camera access if asked","",""
"scanFace.uploadInstead","Tap the button to upload a photo instead","",""
"scanAnalyzing.toneLabel","TONE ANALYSIS","",""
"scanAnalyzing.toneValue","Tone detected","",""
"scanAnalyzing.microLabel","MICRO-SURFACE","",""
"scanAnalyzing.microValue","Texture analyzed","",""
"scanAnalyzing.periorbitalLabel","PERIORBITAL","",""
"scanAnalyzing.periorbitalValue","Dark circles: mild","",""
"scanAnalyzing.browLabel","BROW VOLUME","",""
"scanAnalyzing.browValue","Brow fullness: moderate","",""
"scanAnalyzing.processing","Processing neural landmarks...","",""
"scanAnalyzing.analyzing","ANALYZING","",""
"scanAnalyzing.hold","Hold still while our AI constructs
your personal skin profile.","",""
"scanAnalyzing.failed","Scan failed","",""
"scanAnalyzing.failedMessage","Could not analyse your scan. Please try again.","",""
"scanText.zones.skin","Skin","",""
"scanText.zones.eyes","Eyes","",""
"scanText.zones.lips","Lips","",""
"scanText.zones.hair","Hair","",""
"scanText.zones.brows","Brows","",""
"scanText.metrics.hydrationLevel","Hydration Level","",""
"scanText.metrics.poreClarity","Pore Clarity","",""
"scanText.metrics.elasticity","Elasticity","",""
"scanText.metrics.darkCircles","Dark Circles","",""
"scanText.metrics.puffiness","Puffiness","",""
"scanText.metrics.hydration","Hydration","",""
"scanText.metrics.density","Density","",""
"scanText.metrics.fullness","Fullness","",""
"scanText.status.optimal","Optimal","",""
"scanText.status.excellent","Excellent","",""
"scanText.status.good","Good","",""
"scanText.status.fair","Fair","",""
"scanText.status.low","Low","",""
"scanText.status.moderate","Moderate","",""
"scanText.status.high","High","",""
"scanText.status.dry","Dry","",""
"scanText.status.full","Full","",""
"scanText.status.sparse","Sparse","",""
"scanText.status.notVisible","Not visible","",""
"scanText.status.mild","Mild","",""
"scanText.status.balanced","Balanced","",""
"scanText.status.oily","Oily","",""
"scanText.status.none","None","",""
"scanText.status.visible","Visible","",""
"scanText.trendLabel","{{count}}-SCAN TREND","","Keep {{…}} placeholders unchanged"
"scanText.firstScan","FIRST SCAN","",""
"scanText.notEnoughScans","Not enough scans for trend","",""
"scanText.moreScans_one","{{count}} more scan for a full {{total}}-scan trend","","Keep {{…}} placeholders unchanged"
"scanText.moreScans_other","{{count}} more scans for a full {{total}}-scan trend","","Keep {{…}} placeholders unchanged"
"scanResults.title","Full Scan Analysis","",""
"scanResults.facePhoto","Your scanned face","",""
"scanResults.pointsA11y","{{count}} points earned. View points","","Keep {{…}} placeholders unchanged"
"scanResults.viewPoints","View points","",""
"scanResults.pointsEarned","+{{count}} points earned for today’s scan!","","Keep {{…}} placeholders unchanged"
"scanResults.pointsAlready","Scan saved. Today’s scan points were already earned.","",""
"scanResults.noScan","No scan to show.","",""
"scanResults.takeScanA11y","Take a face scan","",""
"scanResults.takeScan","Take a Face Scan","",""
"scanResults.ancillary","Ancillary Zones","",""
"scanResults.loadFailed","Could not load your scan.","",""
"scanResults.loadFailedTitle","Could not load your scan","",""
"scanResults.noScansTitle","No scans yet","",""
"scanResults.noScansText","Take your first AI face scan to see a full analysis of every zone.","",""
"scanHistory.title","Scan History","",""
"scanHistory.scanFrom","Scan from {{date}}","","Keep {{…}} placeholders unchanged"
"scanHistory.avg","AVG","",""
"scanHistory.emptyTitle","Your Journey Starts Here","",""
"scanHistory.emptyDesc","Take your first face scan to start tracking your skin, hair, and brow progress over time.","",""
"scanHistory.startA11y","Start your first scan","",""
"scanHistory.start","Start Your First Scan","",""
"scanHistory.hint","TAKES LESS THAN 30 SECONDS","",""
"scanHistory.count_one","{{count}} scan recorded","","Keep {{…}} placeholders unchanged"
"scanHistory.count_other","{{count}} scans recorded","","Keep {{…}} placeholders unchanged"
"serverText.levels.l1","Level 1: Fresh Start","",""
"serverText.levels.l2","Level 2: Glow Getter","",""
"serverText.levels.l3","Level 3: Radiance Rookie","",""
"serverText.levels.l4","Level 4: Skin Savant","",""
"serverText.levels.l5","Level 5: Glow Master","",""
"serverText.levels.l6","Level 6: Luminary","",""
"serverText.ledger.skinAnalysis","Skin Analysis","",""
"serverText.ledger.waterGoal","Daily Water Goal","",""
"serverText.ledger.friendJoined","Friend Joined","",""
"serverText.ledger.routineCompleted","Daily Routine Completed","",""
"serverText.ledger.mindfulness","Mindfulness Session","",""
"serverText.weekly.keepUpTitle","Keep Up Your Routine","",""
"serverText.weekly.prioritizeTitle","Prioritize {{zone}} Recovery","","Keep {{…}} placeholders unchanged"
"serverText.weekly.keepUpDesc","Consistency is the foundation of skin health. Complete both AM and PM routines daily for the best results.","",""
"serverText.weekly.focusDesc","Focus your care routine on improving your {{zone}} health this week.","","Keep {{…}} placeholders unchanged"
"serverText.trackerItems.eyebrowRevitabrow","RevitaBrow Advanced","",""
"serverText.trackerItems.eyebrowCastor","Castor Oil Serum","",""
"serverText.trackerItems.eyelashCleanse","Clean daily with oil-free cleanser","",""
"serverText.trackerItems.eyelashSpoolie","Brush through with a clean spoolie","",""
"serverText.trackerItems.undereyeCold","Cold Compress","",""
"serverText.trackerItems.undereyeGua","Gua Sha","",""
"serverText.trackerItems.undereyeJade","Jade Roller","",""
"serverText.trackerItems.undereyePatch","Eye Patches","",""
"serverText.trackerItems.undereyeEyedrops","Eye Drops Applied","",""
"serverText.trackerItems.lipsExfoliate","Exfoliate","",""
"serverText.trackerItems.lipsBalm","Balm","",""
"serverText.trackerItems.lipsMask","Overnight Mask","",""
"serverText.trackerItems.scalpWash","Hair Wash","",""
"serverText.trackerItems.scalpSerum","Scalp Serum","",""
"serverText.trackerItems.scalpMassage","Scalp Massage","",""
"serverText.trackerItems.scalpMask","Deep Conditioning Mask","",""
"rewards.loading","Loading your points…","",""
"rewards.totalBalance","TOTAL BALANCE","",""
"rewards.untilNext","{{points}} points until {{level}}","","Keep {{…}} placeholders unchanged"
"rewards.topLevel","You’ve reached the top level — amazing!","",""
"rewards.earnMore","Earn More Points","",""
"rewards.doneCheck","Done ✓","",""
"rewards.scanLabel","Scan Face","",""
"rewards.scanDone","Earned today — scan again tomorrow","",""
"rewards.scanTodo","Analyze your skin today","",""
"rewards.waterLabel","Log Water","",""
"rewards.waterDone","Goal reached · {{count}} glasses today","","Keep {{…}} placeholders unchanged"
"rewards.waterProgress","{{count}} of {{goal}} glasses today","","Keep {{…}} placeholders unchanged"
"rewards.waterTodo","Stay hydrated for glow · {{goal}} glasses","","Keep {{…}} placeholders unchanged"
"rewards.referLabel","Refer a Friend","",""
"rewards.referJoined","{{count}} joined","","Keep {{…}} placeholders unchanged"
"rewards.referPending"," · {{count}} pending","","Keep {{…}} placeholders unchanged"
"rewards.referTodo","Share the routine","",""
"rewards.recentHistory","Recent History","",""
"rewards.noHistory","No activity yet — complete a routine or scan to start earning.","",""
"rewards.fullStatement","VIEW FULL STATEMENT","",""
"rewards.fullStatementA11y","View full statement","",""
"rewards.earnRowA11y","{{label}}: {{desc}}. {{pill}}","","Keep {{…}} placeholders unchanged"
"water.title","Log Water","",""
"water.glassesToday","glasses today","",""
"water.goalReached","Daily goal reached — nice work staying hydrated!","",""
"water.moreToEarn_one","{{count}} more glass to earn +{{points}} points","","Keep {{…}} placeholders unchanged"
"water.moreToEarn_other","{{count}} more glasses to earn +{{points}} points","","Keep {{…}} placeholders unchanged"
"water.earned","+{{count}} points earned for today’s water goal!","","Keep {{…}} placeholders unchanged"
"water.glass","Glass {{n}}","","Keep {{…}} placeholders unchanged"
"water.glassLogged","Glass {{n}}, logged","","Keep {{…}} placeholders unchanged"
"water.remove","Remove a glass","",""
"water.addA11y","Add a glass of water","",""
"water.add","Add a Glass","",""
"water.max","That’s the most you can log for today.","",""
"water.history","View points history","",""
"refer.title","Refer a Friend","",""
"refer.inviteMessage","Join me on MyFace AI — it builds your skincare routine from an AI face scan. Use my referral code {{code}} when you sign up!","","Keep {{…}} placeholders unchanged"
"refer.heroTitle","Earn {{points}} points per friend","","Keep {{…}} placeholders unchanged"
"refer.heroText","Invite friends to MyFace AI. You earn +{{points}} when they complete their first face scan or routine.","","Keep {{…}} placeholders unchanged"
"refer.yourCode","YOUR REFERRAL CODE","",""
"refer.codeA11y","Referral code {{code}}","","Keep {{…}} placeholders unchanged"
"refer.codeCopied","Referral code copied","",""
"refer.copyA11y","Copy referral code","",""
"refer.copy","Copy","",""
"refer.shareA11y","Share invite","",""
"refer.share","Share Invite","",""
"refer.howItWorks","HOW IT WORKS","",""
"refer.step1","Share your code with a friend.","",""
"refer.step2","They enter it when creating their MyFace AI account.","",""
"refer.step3","When they finish their first face scan or routine, you get +{{points}} points.","","Keep {{…}} placeholders unchanged"
"refer.friendsJoined","FRIENDS WHO JOINED","",""
"refer.ptsEarned"," · {{points}} PTS EARNED","","Keep {{…}} placeholders unchanged"
"refer.noFriends","No friends have joined with your code yet.","",""
"refer.joined","Joined {{date}}","","Keep {{…}} placeholders unchanged"
"refer.earnedPts","+{{points}} earned","","Keep {{…}} placeholders unchanged"
"refer.pending","Pending","",""
"statement.title","Points Statement","",""
"statement.currentBalance","CURRENT BALANCE","",""
"statement.noPoints","No points yet","",""
"statement.noPointsText","Complete a routine, scan your face or log water to start earning.","",""
"statement.waysA11y","Ways to earn","",""
"statement.ways","Ways to Earn","",""
"statement.loadOlder","Load older transactions","",""
"statement.end_one","That’s everything — {{count}} transaction.","","Keep {{…}} placeholders unchanged"
"statement.end_other","That’s everything — {{count}} transactions.","","Keep {{…}} placeholders unchanged"
"social.following","Following","",""
"social.discover","Discover","",""
"social.liveNow","LIVE NOW · {{count}} IN SESSION","","Keep {{…}} placeholders unchanged"
"social.doneToday","DONE TODAY ✓","",""
"social.joinedToday","{{count}} JOINED TODAY","","Keep {{…}} placeholders unchanged"
"social.dailySession","DAILY SESSION","",""
"social.sessionTitle","Daily Mindfulness Routine","",""
"social.joinLive","Join live: {{title}}","","Keep {{…}} placeholders unchanged"
"social.startSession","Start: {{title}}","","Keep {{…}} placeholders unchanged"
"social.createStory","Create new story","",""
"social.storyOf","{{name}}'s story","","Keep {{…}} placeholders unchanged"
"social.newStory","New Story","",""
"social.yourStory","Your story","",""
"social.peopleToFollow","PEOPLE TO FOLLOW","",""
"social.openProfile","Open {{name}}'s profile","","Keep {{…}} placeholders unchanged"
"social.view","View","",""
"social.postsLoadFailed","Could not load posts.","",""
"social.storiesLoadFailed","Could not load stories.","",""
"social.postsCouldntLoad","Posts couldn’t be loaded.","",""
"social.loadingPosts","Loading posts…","",""
"social.feedEmpty","Your feed is empty","",""
"social.noPosts","No posts yet","",""
"social.feedEmptyText","Share your first post, or follow people from Discover to see their updates here.","",""
"social.noPostsText","Be the first to share your routine with the community.","",""
"social.createPostA11y","Create a post","",""
"social.createPost","Create a Post","",""
"social.goDiscover","Go to Discover","",""
"social.leaderboard","Leaderboard","",""
"social.communities","Communities","",""
"social.createNewPost","Create new post","",""
"socialTags.morningFlow","Morning Flow","",""
"socialTags.nightRoutine","Night Routine","",""
"socialTags.skincare","Skincare","",""
"socialTags.progress","Progress","",""
"socialTags.makeup","Makeup","",""
"socialTags.mindfulness","Mindfulness","",""
"socialTags.wellness","Wellness","",""
"socialTags.question","Question","",""
"post.user","User","",""
"post.checkOut","Check out this post","",""
"post.shareText","{{name}} on MyFace AI: {{body}}","","Keep {{…}} placeholders unchanged"
"post.quoted","“{{caption}}”","","Keep {{…}} placeholders unchanged"
"post.likeFailed","Could not update like","",""
"post.saveFailed","Could not update saved posts","",""
"post.openProfile","Open {{name}}'s profile","","Keep {{…}} placeholders unchanged"
"post.authorTime","{{name}}, {{time}}","","Keep {{…}} placeholders unchanged"
"post.moreOptions","More options","",""
"post.photoBy","Photo posted by {{name}}","","Keep {{…}} placeholders unchanged"
"post.like","Like","",""
"post.unlike","Unlike","",""
"post.comments","Comments ({{count}})","","Keep {{…}} placeholders unchanged"
"post.share","Share","",""
"post.save","Save","",""
"post.unsave","Unsave","",""
"post.readMoreA11y","Read more","",""
"post.readMore","read more","",""
"post.reportSpam","Spam","",""
"post.reportInappropriate","Inappropriate content","",""
"post.reportHarassment","Harassment or bullying","",""
"post.reportOther","Something else","",""
"post.somethingWrong","Something went wrong","",""
"post.deleteTitle","Delete post?","",""
"post.deleteText","This removes the post, its likes and comments for everyone.","",""
"post.reportThanks","Thanks for reporting","",""
"post.reportHidden","This post is now hidden from your feed.","",""
"post.closeMenu","Close menu","",""
"post.delete","Delete post","",""
"post.follow","Follow {{name}}","","Keep {{…}} placeholders unchanged"
"post.unfollow","Unfollow {{name}}","","Keep {{…}} placeholders unchanged"
"post.viewProfile","View {{name}}'s profile","","Keep {{…}} placeholders unchanged"
"post.sharePost","Share post","",""
"post.report","Report post","",""
"post.reportWhy","Why are you reporting this post?","",""
"createPost.addPhotoStory","Add a photo to your story","",""
"createPost.addPhotoPost","Add a photo to your post","",""
"createPost.discardTitle","Discard?","",""
"createPost.discardStory","Your story hasn't been shared yet.","",""
"createPost.discardPost","Your post hasn't been shared yet.","",""
"createPost.discard","Discard","",""
"createPost.shareFailed","Could not share. Please try again.","",""
"createPost.newStory","New Story","",""
"createPost.newPost","New Post","",""
"createPost.shareStory","Share story","",""
"createPost.sharePost","Share post","",""
"createPost.share","Share","",""
"createPost.post","Post","",""
"createPost.story","Story","",""
"createPost.storyPlaceholder","Share a moment…","",""
"createPost.storyText","Story text","",""
"createPost.postPlaceholder","Share your routine, progress or a question…","",""
"createPost.postText","Post text","",""
"createPost.removePhoto","Remove photo","",""
"createPost.changePhotoA11y","Change photo","",""
"createPost.addPhotoA11y","Add photo","",""
"createPost.changePhoto","Change Photo","",""
"createPost.addPhoto","Add Photo","",""
"createPost.remove","Remove","",""
"createPost.background","BACKGROUND","",""
"createPost.backgroundA11y","Background {{color}}","","Keep {{…}} placeholders unchanged"
"createPost.storyHint","Stories are visible to your followers for 24 hours.","",""
"createPost.tagOptional","TAG (OPTIONAL)","",""
"createPost.tagA11y","Tag {{tag}}","","Keep {{…}} placeholders unchanged"
"comments.loadFailed","Could not load comments.","",""
"comments.postFailed","Could not post comment","",""
"comments.deleteTitle","Delete comment?","",""
"comments.deleteFailed","Could not delete comment","",""
"comments.title","Comments","",""
"comments.none","No comments yet","",""
"comments.start","Start the conversation.","",""
"comments.openProfile","Open {{name}}'s profile","","Keep {{…}} placeholders unchanged"
"comments.delete","Delete comment","",""
"comments.placeholder","Add a comment…","",""
"comments.a11y","Add a comment","",""
"comments.post","Post comment","",""
"profile.loadFailed","Could not load this profile.","",""
"profile.followFailed","Could not update follow","",""
"profile.posts","Posts","",""
"profile.followers","Followers","",""
"profile.following","Following","",""
"profile.createPost","Create a post","",""
"profile.newPost","New Post","",""
"profile.follow","Follow","",""
"profile.followName","Follow {{name}}","","Keep {{…}} placeholders unchanged"
"profile.unfollowName","Unfollow {{name}}","","Keep {{…}} placeholders unchanged"
"profile.myPosts","My Posts","",""
"profile.saved","Saved","",""
"profile.savedEmpty","Posts you save with the bookmark icon appear here.","",""
"profile.noPostsMine","You haven’t posted yet.","",""
"profile.noPostsOther","{{name}} hasn’t posted yet.","","Keep {{…}} placeholders unchanged"
"profile.myProfile","My Profile","",""
"profile.title","Profile","",""
"story.deleteTitle","Delete story?","",""
"story.deleteText","It will be removed for everyone.","",""
"story.deleteFailed","Could not delete story","",""
"story.gone","This story is no longer available.","",""
"story.previous","Previous story","",""
"story.next","Next story","",""
"story.openProfile","Open {{name}}'s profile","","Keep {{…}} placeholders unchanged"
"story.yours","Your story","",""
"story.play","Play","",""
"story.pause","Pause","",""
"story.delete","Delete story","",""
"story.close","Close stories","",""
"communities.catAll","All","",""
"communities.catSkin","Skin","",""
"communities.catBrows","Brows","",""
"communities.catMakeup","Makeup","",""
"communities.catGlowUp","Glow-up","",""
"communities.sortTrending","Trending","",""
"communities.sortNewest","Newest","",""
"communities.sortMostActive","Most Active","",""
"communities.skinTechName","Advanced Skin Tech","",""
"communities.proMakeupName","Pro Makeup Artists","",""
"communities.glowUpName","Glow-up Challengers","",""
"communities.glowUpDesc","Sharing insights on the future of personal growth through AI.","",""
"communities.browMasteryName","Brow Mastery Group","",""
"communities.browMasteryDesc","Techniques, product reviews and before/afters from brow enthusiasts.","",""
"communities.morningRitualsName","Morning Rituals","",""
"communities.morningRitualsDesc","A calm corner for AM skincare routines and accountability.","",""
"communities.verified","VERIFIED","",""
"communities.membersOnline","{{members}} members · {{online}} online","","Keep {{…}} placeholders unchanged"
"communities.members","{{members}} members","","Keep {{…}} placeholders unchanged"
"communities.joined","Joined","",""
"communities.join","Join","",""
"communities.searchPlaceholder","Search communities...","",""
"communities.searchA11y","Search communities","",""
"communities.official","Official Communities","",""
"communities.seeAllOfficial","See all official communities","",""
"communities.seeAll","See all","",""
"communities.hub","Community Hub","",""
"communities.noMatch","No communities match this filter yet.","",""
"communities.myTitle","My Communities","",""
"communities.findTitle","Find Your Community","",""
"communities.findDesc","Join a group of users with similar skin or hair goals to share tips, streaks, and progress.","",""
"communities.discoverA11y","Discover communities","",""
"communities.discover","Discover Communities","",""
"communities.previewSkincare","Skincare","",""
"communities.previewDailyGlow","Daily Glow","",""
"communities.previewHaircare","Haircare","",""
"communities.previewCurlLove","Curl Love","",""
"communities.previewA11y","{{label}}: {{name}}","","Keep {{…}} placeholders unchanged"
"communityGroup.defaultName","AI Pioneers Guild","",""
"communityGroup.membersCount","{{members}} Members","","Keep {{…}} placeholders unchanged"
"communityGroup.leave","Leave group","",""
"communityGroup.joinA11y","Join group","",""
"communityGroup.tabFeed","Feed","",""
"communityGroup.tabQa","Q&A","",""
"communityGroup.tabMembers","Members","",""
"communityGroup.qaSoon","Q&A threads coming soon.","",""
"communityGroup.membersSoon","Member list coming soon.","",""
"communityGroup.streakTitle","Group Streak: 18 Days","",""
"communityGroup.streakSub","Only 2 days left for the Gold badge!","",""
"communityGroup.pinned","PINNED POSTS","",""
"communityGroup.pinnedTitle","Weekly Challenge: AI Habit Tracking","",""
"communityGroup.pinnedDesc","Join us this week as we explore the best ways to integrate AI into your daily morning routine.","",""
"communityGroup.top10","TOP 10 LEADERBOARD","",""
"communityGroup.seeFull","See full leaderboard","",""
"communityGroup.seeAllCaps","SEE ALL","",""
"communityGroup.pts","{{points}} pts","","Keep {{…}} placeholders unchanged"
"communityGroup.latest","LATEST DISCUSSIONS","",""
"communityGroup.hoursAgo","2 hours ago","",""
"communityGroup.discussion","How are you all using the new MyFace AI vision module to track your fitness routines? I'm finding it incredibly helpful for form correction!","",""
"coach.welcome","Hi! I'm your AI skin coach 💆‍♀️ Ask me anything about your skincare routine, ingredients, or skin concerns.","",""
"coach.suggestDry","Best routine for dry skin?","",""
"coach.suggestMix","Can I mix Vitamin C + Retinol?","",""
"coach.suggestPores","How to reduce pores?","",""
"coach.suggestNiacinamide","What is niacinamide good for?","",""
"coach.thinking","Thinking…","",""
"coach.aboutTip","About your tip ""{{tip}}"" — ","","Keep {{…}} placeholders unchanged"
"coach.connectFailed","I couldn't connect right now. Please check your connection and try again.","",""
"coach.title","Skin Coach","",""
"coach.status","AI · Always available","",""
"coach.clear","Clear chat history","",""
"coach.style","Coach style settings","",""
"coach.report","View weekly report","",""
"coach.placeholder","Ask your skin coach...","",""
"coach.input","Message input","",""
"coach.send","Send message","",""
"coachStyle.motivational","Motivational","",""
"coachStyle.gentle","Gentle","",""
"coachStyle.clinical","Clinical","",""
"coachStyle.witty","Witty","",""
"coachStyle.motivationalSample","""Push your limits today! Your 3-day streak is waiting to become 4. Let's get moving!""","",""
"coachStyle.gentleSample","""Whenever you're ready, let's take a small step forward together today. No pressure.""","",""
"coachStyle.clinicalSample","""Scheduled activity reminder: Engagement required to maintain metabolic rhythm and focus.""","",""
"coachStyle.wittySample","""Your streak called. It misses you. Don't ghost your progress, it's a bad look.""","",""
"coachStyle.active","ACTIVE","",""
"coachStyle.sampleLabel","Sample Notification","",""
"coachStyle.saveFailed","Could not save your preferences.","",""
"coachStyle.title","Coach Style","",""
"coachStyle.personality","Personality","",""
"coachStyle.personalitySub","Choose how MyFace AI interacts with you and encourages your daily routine.","",""
"coachStyle.frequency","Frequency","",""
"coachStyle.dailyReminders","Daily Reminders","",""
"coachStyle.dailyRemindersSub","Three times per day","",""
"coachStyle.morningInsight","Morning Insight","",""
"coachStyle.morningInsightSub","Sent at 8:00 AM","",""
"coachStyle.save","Save Preferences","",""
"coachStyle.saveA11y","Save preferences","",""
"notifications.routine","Routine","",""
"notifications.progress","Progress","",""
"notifications.social","Social","",""
"notifications.community","Community","",""
"notifications.coach","Coach","",""
"notifications.wellness","Wellness","",""
"notifications.title","Notifications","",""
"notifications.bannerTitle","Manage Alerts","",""
"notifications.bannerSub","Customize how you interact with MyFace AI","",""
"notifications.muteAll","Mute All","",""
"notifications.muteAllSub","Silence all app notifications","",""
"notifications.categories","APP CATEGORIES","",""
"notifications.info","Notifications help you stay on track with your routines and wellness goals. Disabling them may affect your streak progress.","",""
"privacy.summary1","Stored in your account: name, email, routine progress, check-ins, scan scores, points, coach chats, saved looks, product shelf, reviews and settings.","",""
"privacy.summary2","Photos (face scans, label scans, try-ons, style advice) are sent to our AI provider (OpenAI) for that one analysis and are never stored — only the resulting scores are saved.","",""
"privacy.summary3","Your password is stored only as a secure hash.","",""
"privacy.summary4","Use ""Download Data"" to export everything, or ""Delete Account"" to erase it.","",""
"privacy.processingTitle","How your data is processed","",""
"privacy.policyOpenFailed","Could not open the privacy policy","",""
"privacy.summaryTitle","Privacy summary","",""
"privacy.exportFailed","Could not export your data","",""
"privacy.deleteTitle","Delete your account?","",""
"privacy.deleteText","This permanently deletes your account, scans, routines, reviews and all other data.","",""
"privacy.sureTitle","Are you absolutely sure?","",""
"privacy.sureText","This cannot be undone.","",""
"privacy.deleteForever","Delete Forever","",""
"privacy.deleteFailed","Could not delete account","",""
"privacy.heading","Privacy & Transparency","",""
"privacy.subheading","Manage your data and understand how we protect your biometric information.","",""
"privacy.secureTitle","Secure Biometrics","",""
"privacy.secureBody","Your face scan data is processed locally on your device before being converted into a unique mathematical representation. This data is encrypted with AES-256 standards and is never accessible to employees or third parties.","",""
"privacy.encryption","End-to-End Encryption Enabled","",""
"privacy.downloadA11y","Download your data","",""
"privacy.preparing","Preparing…","",""
"privacy.download","Download Data","",""
"privacy.downloadHint","Download a JSON file with all your account data, scans and activity.","",""
"privacy.historyA11y","Data history","",""
"privacy.history","Data History","",""
"privacy.insightsA11y","Processing insights","",""
"privacy.insights","Processing Insights","",""
"privacy.policyA11y","Privacy policy","",""
"privacy.policy","Privacy Policy","",""
"privacy.deleteA11y","Delete account","",""
"privacy.deleting","Deleting…","",""
"privacy.delete","Delete Account","",""
"privacy.deleteHint","This action is permanent and cannot be undone.","",""
"teen.saveFailed","Could not save your changes.","",""
"teen.accountOf","{{name}}'s Account","","Keep {{…}} placeholders unchanged"
"teen.yourAccount","Your Account","",""
"teen.protectionOn","Protection Active","",""
"teen.protectionOff","Protection Off","",""
"teen.toggleA11y","Teenage mode","",""
"teen.social","SOCIAL PERMISSIONS","",""
"teen.publicProfile","Public Profile","",""
"teen.publicProfileDesc","Visible to non-contacts","",""
"teen.aiInteractions","AI Interactions","",""
"teen.aiInteractionsDesc","Unrestricted AI chatting","",""
"teen.filters","CONTENT FILTERS","",""
"teen.deepFilters","Deep Filters","",""
"teen.deepFiltersDesc","Strict AI moderation active","",""
"teen.quietHours","Quiet Hours","",""
"teen.restrictExplicit","Restrict Explicit Content","",""
"teen.parental","PARENTAL REPORTING","",""
"teen.weeklyEmail","Weekly Summary Email","",""
"teen.emailDesc","Sent every Sunday at 8:00 AM to {{email}}","","Keep {{…}} placeholders unchanged"
"teen.yourEmail","your account email","",""
"teen.saveA11y","Save all changes","",""
"teen.saved","Saved!","",""
"teen.save","Save All Changes","",""
"welcomeBack.heading","Welcome Back, {{name}}!","","Keep {{…}} placeholders unchanged"
"welcomeBack.sub","Consistency is a journey, not a destination. Let's pick up where we left off.","",""
"welcomeBack.currentStreak","CURRENT STREAK","",""
"welcomeBack.days_one","{{count}} Day","","Keep {{…}} placeholders unchanged"
"welcomeBack.days_other","{{count}} Days","","Keep {{…}} placeholders unchanged"
"welcomeBack.sessions","Sessions Completed","",""
"welcomeBack.weekPoints","Points This Week","",""
"welcomeBack.quote","""Every morning is a new opportunity to grow.""","",""
"welcomeBack.tip","Life happens, and that's okay. Your progress is still here waiting for you. No pressure, just progress.","",""
"welcomeBack.freshStartA11y","Fresh start","",""
"welcomeBack.freshStart","Fresh Start","",""
"welcomeBack.freezeA11y","Use streak freeze","",""
"welcomeBack.freezeApplied","Streak Freeze Applied","",""
"welcomeBack.freeze","Use Streak Freeze","",""
"weekly.consistency","Consistency","",""
"weekly.completed","{{pct}}% COMPLETED","","Keep {{…}} placeholders unchanged"
"weekly.routineDone","Routine Done","",""
"weekly.missed","Missed","",""
"weekly.prev","Prev: {{score}}","","Keep {{…}} placeholders unchanged"
"weekly.noScan","No scan this week — take a scan to see your zone analysis.","",""
"weekly.title","Weekly Report","",""
"weekly.zoneAnalysis","Zone Analysis","",""
"weekly.totalSessions","Total Sessions","",""
"weekly.weekPoints","Points This Week","",""
"weekly.focusNext","FOCUS NEXT WEEK","",""
"weekly.dateRange","{{start}} — {{end}}","","Keep {{…}} placeholders unchanged"
"leaderboard.global","Global","",""
"leaderboard.weekly","Weekly","",""
"leaderboard.you"," (You)","",""
"leaderboard.dayStreak","{{count}} day streak","","Keep {{…}} placeholders unchanged"
"leaderboard.ptsTotal","{{count}} pts total","","Keep {{…}} placeholders unchanged"
"leaderboard.pts","pts","",""
"leaderboard.days","days","",""
"leaderboard.title","Leaderboard","",""
"leaderboard.empty","No rankings yet. Complete routines to earn points!","",""
"leaderboard.points","Points","",""
"leaderboard.streak","Streak","",""
"leaderboard.rank","#{{rank}}","","Keep {{…}} placeholders unchanged"
"challenges.tabActive","Active","",""
"challenges.tabAvailable","Available","",""
"challenges.tabCompleted","Completed","",""
"challenges.glowTitle","Glow Routine","",""
"challenges.glowDesc","Consistent facial massage","",""
"challenges.hydrationTitle","Hydration Hero","",""
"challenges.hydrationDesc","5 days remaining","",""
"challenges.jawlineTitle","Jawline Sculpt 2024","",""
"challenges.jawlineMeta","30 Day program · Beginner","",""
"challenges.eyeTitle","Eye Revival Series","",""
"challenges.eyeMeta","14 Day program · Advanced","",""
"challenges.badgeReset","7 Day Reset","",""
"challenges.badgeEarly","Early Bird","",""
"challenges.badgeSummer","Summer Glow","",""
"challenges.yours","Your Challenges","",""
"challenges.activeCount","{{count}} ACTIVE","","Keep {{…}} placeholders unchanged"
"challenges.open","Open {{title}} challenge","","Keep {{…}} placeholders unchanged"
"challenges.dayStreak","{{count}} Day Streak","","Keep {{…}} placeholders unchanged"
"challenges.dayOf","Day {{day}} of {{total}}","","Keep {{…}} placeholders unchanged"
"challenges.friendsIn","FRIENDS IN CHALLENGE","",""
"challenges.others","+{{count}} others","","Keep {{…}} placeholders unchanged"
"challenges.rank","RANK","",""
"challenges.browse","Browse new challenges below.","",""
"challenges.noneCompleted","No completed challenges yet.","",""
"challenges.availableForYou","Available for You","",""
"challenges.joinA11y","Join {{title}}","","Keep {{…}} placeholders unchanged"
"challenges.joined","Joined","",""
"challenges.joinNow","Join Now","",""
"challenges.past","Past Triumphs","",""
"challenges.viewAll","VIEW ALL","",""
"friendCompare.you","YOU","",""
"friendCompare.score","Score: {{score}}","","Keep {{…}} placeholders unchanged"
"friendCompare.vs","VS","",""
"friendCompare.day","Day {{day}}/{{total}}","","Keep {{…}} placeholders unchanged"
"friendCompare.range7","7 Days","",""
"friendCompare.range30","30 Days","",""
"friendCompare.growth","Face Score Growth","",""
"friendCompare.yourImprovement","Your Improvement","",""
"friendCompare.theirImprovement","{{name}}'s Improvement","","Keep {{…}} placeholders unchanged"
